MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,R2score,MAE,MSE,MAX
PCA,abalone,_Borderline1,ABR,NONE,NONE,0.32974603608001285,2.2008572537363267,6.9671528110535705,10.464286989563641
PCA,abalone,_Borderline1,GBR,NONE,NONE,0.5624240586731952,1.5161419016851674,4.547575844399806,11.119450665802303
PCA,abalone,_Borderline1,KNNR,NONE,NONE,0.5184873910340376,1.592516746411483,5.001153322064007,11.52
PCA,abalone,_Borderline1,MLPR,NONE,NONE,0.5387424257794874,1.5635775614647947,4.791432477144218,13.055045531430775
PCA,abalone,_Borderline1,RFR,NONE,NONE,0.5492484158175147,1.5446020628599262,4.684102932126178,10.726
PCA,abalone,_Borderline1,RNR,NONE,NONE,0.0019311823723375365,2.359733261231816,10.369031534950912,16.438614174170837
PCA,abalone,_Borderline1,SGDR,NONE,NONE,0.49723961022542074,1.6440012704466351,5.223492429380725,12.552803901628357
PCA,abalone,_Borderline1,SVR,NONE,NONE,0.545283544587522,1.4979909241086162,4.724062791541337,11.791936791380817
PCA,abalone,_Borderline2,ABR,NONE,NONE,0.3267352040066651,2.2170378692432893,6.997838333741413,10.292733607627333
PCA,abalone,_Borderline2,GBR,NONE,NONE,0.5609299509412702,1.5182876654002457,4.563379720592457,11.119450665802301
PCA,abalone,_Borderline2,KNNR,NONE,NONE,0.5184873910340376,1.592516746411483,5.001153322064007,11.52
PCA,abalone,_Borderline2,MLPR,NONE,NONE,0.5361596348734287,1.5822850167875493,4.8173717914867735,13.075427676000936
PCA,abalone,_Borderline2,RFR,NONE,NONE,0.5516469192034302,1.5459006933501416,4.659041402429591,10.756
PCA,abalone,_Borderline2,RNR,NONE,NONE,0.0019311823723375365,2.359733261231816,10.369031534950912,16.438614174170837
PCA,abalone,_Borderline2,SGDR,NONE,NONE,0.4938459345501164,1.650030632060917,5.259115576513078,12.604387450926945
PCA,abalone,_Borderline2,SVR,NONE,NONE,0.545283544587522,1.4979909241086162,4.724062791541337,11.791936791380817
PCA,abalone,_Geometric_SMOTE,ABR,NONE,NONE,0.14923622233833406,2.550370482025856,8.844252755673718,10.488547057659835
PCA,abalone,_Geometric_SMOTE,GBR,NONE,NONE,0.520293246997406,1.6496988100697227,4.982695114985235,10.371928652588698
PCA,abalone,_Geometric_SMOTE,KNNR,NONE,NONE,0.49882080272427587,1.636528711172589,5.204937089825716,11.281053949492804
PCA,abalone,_Geometric_SMOTE,MLPR,NONE,NONE,0.5304322656580307,1.6564000450548133,4.8793199761196675,10.24551680101747
PCA,abalone,_Geometric_SMOTE,RFR,NONE,NONE,0.5193956758737219,1.6427604550643733,4.994017179862806,9.842149671465778
PCA,abalone,_Geometric_SMOTE,RNR,NONE,NONE,-0.0075927003930996275,2.382131683503622,10.469117634326022,16.54288534439857
PCA,abalone,_Geometric_SMOTE,SGDR,NONE,NONE,0.4383789138100015,1.8922471508211403,5.839044634178391,11.785906729771966
PCA,abalone,_Geometric_SMOTE,SVR,NONE,NONE,0.5454959086317456,1.5918652773531898,4.721779291331295,10.76340547986899
PCA,abalone,_SMOTE,ABR,NONE,NONE,0.3361242251752875,2.140108655206222,6.897454055527001,10.988595732409866
PCA,abalone,_SMOTE,GBR,NONE,NONE,0.5169072913219684,1.6613513649683522,5.018142505451747,10.450675629102385
PCA,abalone,_SMOTE,KNNR,NONE,NONE,0.407565778203697,1.799039068808606,6.1521566028243075,12.28
