DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,GEOMETRY,ALPHA,unit
abalone,RFR,4.671912243761281,2.0,5.179742439450618,7.0,4.808366030239073,4.0,4.684102932126177,3.0,4.659041402429591,1.0,4.994017179862807,5.0,5.0566294838611565,6.0,max_solid_angle,2.5,MSE
ailerons,RFR,9.698106660682033e-08,1.0,9.983464235998344e-08,5.0,1.0051822990087883e-07,7.0,9.950930232867248e-08,3.0,9.799892046650259e-08,2.0,1.0006564319800453e-07,6.0,9.952735798411458e-08,4.0,max_solid_angle,2.5,MSE
cpu_act,RFR,8.40404743492898,2.0,8.939704435946958,7.0,8.753770464680734,5.0,8.408675296753955,3.0,8.376793791897885,1.0,8.61794302454146,4.0,8.798768130966332,6.0,max_solid_angle,2.5,MSE
autoPrice,RFR,4631548.424721965,3.0,4501161.143304619,2.0,4644251.528441103,4.0,5275493.748172405,6.0,5017059.780159423,5.0,5316346.475973528,7.0,4314915.891651785,1.0,max_solid_angle,2.5,MSE
cpu_small,RFR,9.805561988764406,3.0,10.459781656491463,4.0,10.704201630092502,6.0,9.790761847749566,2.0,9.746418836674136,1.0,10.61999138584756,5.0,10.845343405708707,7.0,max_solid_angle,2.5,MSE
bank8FM,RFR,0.0016133174181143565,1.0,0.0016791288809819946,4.0,0.0017722244195996402,6.0,0.0016420175692878638,2.0,0.0016970747436892662,5.0,0.001994842696304929,7.0,0.0016755184386960495,3.0,max_solid_angle,2.5,MSE
bank32nh,RFR,0.0070485981330187485,1.0,0.007820053419343794,7.0,0.007489733843461519,3.0,0.00765952490290043,5.0,0.007531040606443219,4.0,0.007453827778549881,2.0,0.007662889690018375,6.0,max_solid_angle,2.5,MSE
elevators,RFR,1.9235063047580162e-05,4.0,1.9049686337266968e-05,3.0,2.0240229857745504e-05,7.0,1.7843381400951093e-05,1.0,1.81504537887012e-05,2.0,1.9507065643673377e-05,6.0,1.933215578883444e-05,5.0,max_solid_angle,2.5,MSE
fried,RFR,5.305962827053377,1.0,5.88330487290032,5.0,5.69341010079696,4.0,5.471772293415506,2.0,5.6146877345420005,3.0,7.5164732990098235,7.0,6.106572608790519,6.0,max_solid_angle,2.5,MSE
puma32H,RFR,0.00010697933250045003,1.0,0.00016518672174037694,7.0,0.00012055342096472884,3.0,0.0001495940904535163,6.0,0.00014029751743504875,4.0,0.00011987711245374214,2.0,0.0001478029783624791,5.0,max_solid_angle,2.5,MSE
