DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOMETRIC_SMOTE,RANK_GEOMETRIC_SMOTE,DTO,RANK_DTO,GEOMETRY,ALPHA,unit
abalone,SGDR,0.4970805393927825,2.0,0.4932429235605486,4.0,0.4871304272858802,5.0,0.4972396102254208,1.0,0.4938459345501164,3.0,0.4383789138100015,7.0,0.4791546397066918,6.0,min_solid_angle,3.5,R2score
ailerons,SGDR,0.03937619556177552,1.0,-0.4715883651097354,6.0,-0.4638527228498023,5.0,-0.4428785285050055,4.0,-0.32721256035277163,3.0,-0.4800876974807732,7.0,-0.2470759548083529,2.0,min_solid_angle,3.5,R2score
cpu_act,SGDR,0.8001260418483038,2.0,0.7268931057545348,7.0,0.7799181396295317,4.0,0.7999223070556928,3.0,0.8002494380671887,1.0,0.7305445358202093,5.0,0.7298501168933362,6.0,min_solid_angle,3.5,R2score
autoPrice,SGDR,0.4712115730545661,1.0,0.4248839806877539,3.0,0.41562560167448104,5.0,0.4033622665659404,6.0,0.3968728075192912,7.0,0.4236605160772129,4.0,0.4302755099788797,2.0,min_solid_angle,3.5,R2score
cpu_small,SGDR,0.7979255164977389,2.0,0.7252350164798179,6.0,0.7749822690843335,4.0,0.7977316791775211,3.0,0.7979834902291946,1.0,0.7745419579554282,5.0,0.7252166817578545,7.0,min_solid_angle,3.5,R2score
bank8FM,SGDR,0.8315893688476809,1.0,0.8065796662605248,5.0,0.8176126749009098,2.0,0.8064723831994947,6.0,0.8116179966194178,3.0,0.8083228166755765,4.0,0.8064290727496154,7.0,min_solid_angle,3.5,R2score
bank32nh,SGDR,0.4207362196278718,1.0,0.3366009164241396,7.0,0.3915338969143189,2.0,0.3543878750738222,5.0,0.3683590161649869,3.0,0.3482224994688773,6.0,0.3642794856299649,4.0,min_solid_angle,3.5,R2score
elevators,SGDR,0.03592312727450018,1.0,-0.3256493167165722,6.0,-0.6143134058175003,7.0,-0.22511580704376086,4.0,-0.17291219665458102,3.0,-0.25193102848475923,5.0,-0.1669855680144071,2.0,min_solid_angle,3.5,R2score
fried,SGDR,0.6139092529329062,1.0,0.5308598828904995,5.0,0.5827988648611729,2.0,0.5548935381239704,4.0,0.5642767560154527,3.0,0.5052360472663843,6.0,0.4936513576915987,7.0,min_solid_angle,3.5,R2score
puma32H,SGDR,0.20569240456953905,1.0,0.056919660116405625,4.0,-0.094195250820287,7.0,-0.00884261349171569,6.0,0.05113508021625168,5.0,0.10487271184413158,3.0,0.1186266974642092,2.0,min_solid_angle,3.5,R2score
