MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,R2score,MAE,MSE,MAX
PCA,abalone,_Borderline1,ABR,NONE,NONE,0.32974603608001285,2.2008572537363267,6.9671528110535705,10.464286989563641
PCA,abalone,_Borderline1,GBR,NONE,NONE,0.5624240586731952,1.5161419016851674,4.547575844399807,11.119450665802304
PCA,abalone,_Borderline1,KNNR,NONE,NONE,0.5184873910340376,1.5925167464114833,5.001153322064007,11.52
PCA,abalone,_Borderline1,MLPR,NONE,NONE,0.5387424257794874,1.5635775614647949,4.791432477144218,13.055045531430777
PCA,abalone,_Borderline1,RFR,NONE,NONE,0.5492484158175147,1.5446020628599262,4.684102932126177,10.725999999999999
PCA,abalone,_Borderline1,RNR,NONE,NONE,0.0019311823723375363,2.3597332612318156,10.369031534950912,16.438614174170834
PCA,abalone,_Borderline1,SGDR,NONE,NONE,0.4972396102254208,1.6440012704466351,5.223492429380724,12.552803901628357
PCA,abalone,_Borderline1,SVR,NONE,NONE,0.545283544587522,1.4979909241086162,4.7240627915413365,11.791936791380815
PCA,ailerons,_Borderline1,ABR,NONE,NONE,-0.5233491474303207,0.0004465568602621165,2.531571529968406e-07,0.0018151599839812875
PCA,ailerons,_Borderline1,GBR,NONE,NONE,0.3453704250918766,0.000261767326436472,1.0882837748650627e-07,0.0018402732360342676
PCA,ailerons,_Borderline1,KNNR,NONE,NONE,-0.4176188553040861,0.00037116235045920936,2.3567186412988176e-07,0.002314785251330409
PCA,ailerons,_Borderline1,MLPR,NONE,NONE,-16.61742899538105,0.0009673526016510023,2.929501538181189e-06,0.01772523838732134
PCA,ailerons,_Borderline1,RFR,NONE,NONE,0.40162326932897335,0.00024443205216516866,9.950930232867248e-08,0.001812304879012984
PCA,ailerons,_Borderline1,RNR,NONE,NONE,-0.5358264427951543,0.00043853719443194826,2.5529134184908854e-07,0.002192628853059086
PCA,ailerons,_Borderline1,SGDR,NONE,NONE,-0.4428785285050055,0.00042277876876313416,2.398646071224637e-07,0.002183798354904092
PCA,ailerons,_Borderline1,SVR,NONE,NONE,-5.293566429524244,0.0009593963636363668,1.0466098181818242e-06,0.0016500000000000024
PCA,autoPrice,_Borderline1,ABR,NONE,NONE,0.8105702398485057,1749.2196695135103,6064590.948042722,7914.590364804942
PCA,autoPrice,_Borderline1,GBR,NONE,NONE,0.850039485721225,1285.5321414053274,4345279.996925557,7647.608629993011
PCA,autoPrice,_Borderline1,KNNR,NONE,NONE,0.5639369147393893,2422.680035433603,14441502.089733604,11385.020431374734
PCA,autoPrice,_Borderline1,MLPR,NONE,NONE,-4.540196891995781,11419.837479647564,164633274.04789883,27359.4153464632
PCA,autoPrice,_Borderline1,RFR,NONE,NONE,0.8287754145128577,1441.206262889896,5275493.748172405,8018.842932286189
PCA,autoPrice,_Borderline1,RNR,NONE,NONE,-0.2237791385638331,5037.288961014341,37808825.43344321,15820.024531268142
PCA,autoPrice,_Borderline1,SGDR,NONE,NONE,0.4033622665659404,3459.2094557194155,18986693.32957449,11032.30686491961
PCA,autoPrice,_Borderline1,SVR,NONE,NONE,-0.8375118697712429,5568.026230754462,52669196.11936267,17220.125603144646
PCA,bank32nh,_Borderline1,ABR,NONE,NONE,-0.11195031333297624,0.11689510453613974,0.016400583045030274,0.3965286499105212
PCA,bank32nh,_Borderline1,GBR,NONE,NONE,0.4709325373335741,0.06632977711908858,0.007835715643479717,0.4452973052569053
PCA,bank32nh,_Borderline1,KNNR,NONE,NONE,0.1706513854574006,0.08115677007626966,0.0122756488025306,0.4767517078229269
PCA,bank32nh,_Borderline1,MLPR,NONE,NONE,0.4635751068524844,0.06648299296293049,0.007946039637820515,0.4266860319995388
PCA,bank32nh,_Borderline1,RFR,NONE,NONE,0.482866943397053,0.061822470303949176,0.00765952490290043,0.474564751557932
PCA,bank32nh,_Borderline1,RNR,NONE,NONE,-0.1239132443969598,0.11084940653381548,0.016661055402100916,0.559034526187355
PCA,bank32nh,_Borderline1,SGDR,NONE,NONE,0.3543878750738222,0.07713499682380172,0.009574752031825009,0.4971692364967747
PCA,bank32nh,_Borderline1,SVR,NONE,NONE,0.4705416573519426,0.06812109175536102,0.007840635268676321,0.4297787771884805
PCA,bank8FM,_Borderline1,ABR,NONE,NONE,0.852269999620175,0.04961922881088966,0.00340693521168533,0.21413765131925447
PCA,bank8FM,_Borderline1,GBR,NONE,NONE,0.9162891973745144,0.031081962812174336,0.0019297925563068565,0.1994032549868653
PCA,bank8FM,_Borderline1,KNNR,NONE,NONE,0.8869034024518418,0.03479392178665484,0.0026070500544276448,0.23332432014468615
PCA,bank8FM,_Borderline1,MLPR,NONE,NONE,0.9039316519366384,0.034211297786388616,0.0022149175907319406,0.2053329919895676
PCA,bank8FM,_Borderline1,RFR,NONE,NONE,0.928798640587454,0.028234052680385573,0.0016420175692878638,0.1973648961140512
PCA,bank8FM,_Borderline1,RNR,NONE,NONE,-0.2859208870709581,0.15201600355408312,0.029649907513730662,0.4524394344369512
PCA,bank8FM,_Borderline1,SGDR,NONE,NONE,0.8064723831994947,0.05359289712725366,0.004457746124741021,0.25240047309183816
PCA,bank8FM,_Borderline1,SVR,NONE,NONE,0.9016578316827202,0.03703528390359544,0.0022669565043589067,0.17895130939524434
PCA,cpu_act,_Borderline1,ABR,NONE,NONE,0.924725577625168,4.28991777146108,25.24867695424691,17.69343773227639
PCA,cpu_act,_Borderline1,GBR,NONE,NONE,0.9716824645169112,2.2266910226236063,9.507635032723082,17.0536759146133
PCA,cpu_act,_Borderline1,KNNR,NONE,NONE,0.8545488635305434,4.889593955634224,48.84925513263768,35.36
PCA,cpu_act,_Borderline1,MLPR,NONE,NONE,0.8219492762618692,5.6394704913405285,59.764435342518546,38.716164045318116
PCA,cpu_act,_Borderline1,RFR,NONE,NONE,0.9749931239926024,2.0300949415982967,8.408675296753955,18.304000000000002
PCA,cpu_act,_Borderline1,RNR,NONE,NONE,0.5993908813558715,8.06433360728193,135.22972879152843,44.47154768571114
