ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.2,4.7,4.8,4.3,3.8,4.7,3.5,R2score
ABR,2.4,3.8,5.4,3.5,3.2,6.0,3.7,R2score
SVR,2.7,4.4,5.1,3.8,3.4,4.5,4.1,R2score
GBR,2.0,5.1,4.7,3.6,2.7,5.7,4.2,R2score
KNNR,1.3,6.2,4.9,3.5,3.3,4.3,4.5,R2score
SGDR,1.3,5.4,4.3,4.1,3.1,5.1,4.7,R2score
RFR,2.0,5.0,4.9,3.5,2.8,5.0,4.8,R2score
RNR,1.8,5.4,5.4,3.7,2.4,4.2,5.1,R2score
avarage,1.96,5.0,4.94,3.75,3.09,4.94,4.32,R2score
std,0.49,0.72,0.37,0.3,0.44,0.65,0.55,R2score
