ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,4.0,5.3,3.6,3.3,5.8,3.6,MAE
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
GBR,1.5,5.1,4.9,3.4,3.2,5.5,4.4,MAE
MLPR,2.3,3.9,4.7,4.1,3.9,4.5,4.6,MAE
KNNR,1.3,6.2,4.7,3.5,3.3,4.3,4.7,MAE
RFR,1.4,5.6,4.4,3.6,3.8,3.9,5.3,MAE
SGDR,1.4,5.2,4.1,4.0,3.0,4.8,5.5,MAE
RNR,2.0,5.8,4.3,3.7,2.4,3.8,6.0,MAE
avarage,1.89,4.99,4.72,3.61,3.25,4.75,4.79,MAE
std,0.57,0.89,0.46,0.34,0.47,0.75,0.77,MAE
