ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.1,5.7,4.0,3.9,4.85,2.1,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
ABR,3.2,3.7,4.8,3.8,3.6,5.8,3.1,MAX
RNR,5.2,2.1,4.7,4.1,4.5,3.8,3.6,MAX
RFR,4.8,2.1,4.3,3.7,4.2,5.0,3.9,MAX
SGDR,4.8,3.7,3.8,4.0,4.4,3.3,4.0,MAX
MLPR,3.3,3.8,4.5,4.4,3.8,4.1,4.1,MAX
GBR,3.7,2.4,4.8,3.4,3.5,6.1,4.1,MAX
avarage,4.07,3.15,4.69,3.95,3.98,4.72,3.45,MAX
std,0.79,0.82,0.54,0.31,0.36,0.96,0.74,MAX
