ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.2,4.3,4.8,4.3,3.9,4.6,3.9,MSE
SVR,2.6,4.3,5.1,3.8,3.4,4.6,4.2,MSE
ABR,2.3,3.7,5.4,3.4,3.2,5.8,4.2,MSE
GBR,1.8,5.0,5.0,3.4,2.5,5.7,4.6,MSE
KNNR,1.4,6.1,4.8,3.5,3.2,4.3,4.7,MSE
RFR,1.9,4.9,4.9,3.3,2.8,5.1,5.1,MSE
SGDR,1.5,5.0,4.3,4.0,3.1,5.0,5.1,MSE
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,MSE
avarage,1.94,4.84,4.96,3.66,3.05,4.89,4.66,MSE
std,0.41,0.74,0.36,0.35,0.51,0.64,0.55,MSE
