ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.7,5.5,3.5,3.1,6.1,3.7,R2score
SVR,2.7,4.4,5.1,3.8,3.4,4.5,4.1,R2score
MLPR,2.2,4.1,4.8,4.1,3.7,4.6,4.5,R2score
GBR,1.9,4.9,4.6,3.4,2.8,5.7,4.7,R2score
KNNR,1.3,6.2,4.8,3.4,3.1,4.3,4.9,R2score
RFR,1.8,4.7,4.9,3.4,2.8,5.0,5.4,R2score
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,R2score
SGDR,1.3,5.2,4.2,4.0,3.0,4.8,5.5,R2score
avarage,1.92,4.82,4.91,3.65,3.02,4.88,4.79,R2score
std,0.49,0.79,0.42,0.28,0.42,0.71,0.67,R2score
