ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.2,5.7,3.9,3.8,4.65,2.3,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.7,2.8,MAX
RNR,5.2,2.0,4.7,4.2,4.6,3.7,3.6,MAX
MLPR,3.4,4.1,4.5,4.5,3.9,4.0,3.6,MAX
SGDR,4.8,3.6,3.8,4.1,4.5,3.3,3.9,MAX
GBR,3.7,2.6,4.8,3.5,3.4,6.1,3.9,MAX
RFR,4.8,2.1,4.3,3.6,4.3,4.9,4.0,MAX
ABR,3.0,3.6,4.4,3.7,3.4,5.6,4.3,MAX
avarage,4.07,3.19,4.64,3.96,3.98,4.62,3.55,MAX
std,0.8,0.86,0.55,0.35,0.46,0.94,0.67,MAX
