ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.7,5.5,3.4,3.1,6.1,3.8,R2score
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
GBR,2.0,5.1,4.7,3.6,2.7,5.7,4.2,R2score
KNNR,1.3,6.4,4.9,3.6,3.2,4.3,4.3,R2score
MLPR,2.1,4.3,4.6,4.1,3.7,4.7,4.5,R2score
RFR,1.9,4.8,5.0,3.5,2.9,5.0,4.9,R2score
SGDR,1.3,5.3,4.2,4.1,3.1,4.9,5.1,R2score
RNR,1.8,5.4,5.4,3.7,2.4,4.1,5.2,R2score
avarage,1.92,4.93,4.93,3.72,3.06,4.91,4.52,R2score
std,0.47,0.82,0.43,0.26,0.4,0.69,0.49,R2score
