ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.8,4.6,5.1,3.9,3.5,4.6,3.5,R2score
KNNR,1.3,6.4,4.9,3.6,3.4,4.4,4.0,R2score
MLPR,2.1,4.4,4.8,4.1,3.9,4.7,4.0,R2score
ABR,2.3,3.6,5.4,3.4,3.1,6.1,4.1,R2score
SGDR,1.3,5.4,4.3,4.2,3.3,5.2,4.3,R2score
GBR,1.9,5.0,4.6,3.5,2.9,5.8,4.3,R2score
RNR,1.9,5.4,5.4,3.7,2.6,4.3,4.7,R2score
RFR,1.8,4.9,4.9,3.4,2.7,5.1,5.2,R2score
avarage,1.92,4.96,4.93,3.72,3.18,5.02,4.26,R2score
std,0.5,0.82,0.38,0.31,0.44,0.65,0.51,R2score
