ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
ABR,2.2,4.0,5.3,3.4,3.1,5.7,4.3,MAE
GBR,1.5,5.2,4.9,3.4,3.2,5.5,4.3,MAE
MLPR,2.2,4.2,4.6,4.1,3.9,4.5,4.5,MAE
KNNR,1.4,6.1,4.7,3.5,3.3,4.3,4.7,MAE
RFR,1.4,5.6,4.4,3.6,3.8,4.0,5.2,MAE
SGDR,1.4,5.2,4.1,4.0,3.1,5.0,5.2,MAE
RNR,2.1,5.8,4.3,3.7,2.4,3.9,5.8,MAE
avarage,1.88,5.02,4.71,3.59,3.24,4.79,4.78,MAE
std,0.53,0.82,0.46,0.35,0.47,0.71,0.57,MAE
