ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.7,5.5,3.4,3.1,6.0,3.9,R2score
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
MLPR,2.2,4.2,4.8,4.0,3.7,4.6,4.5,R2score
GBR,1.9,5.0,4.6,3.5,2.7,5.7,4.6,R2score
KNNR,1.3,6.3,4.8,3.4,3.2,4.3,4.7,R2score
RFR,1.8,4.9,4.8,3.5,2.8,5.0,5.2,R2score
SGDR,1.3,5.3,4.2,4.0,3.1,4.8,5.3,R2score
RNR,1.8,5.4,5.4,3.6,2.4,4.0,5.4,R2score
avarage,1.91,4.9,4.9,3.65,3.05,4.86,4.72,R2score
std,0.47,0.81,0.42,0.25,0.41,0.68,0.54,R2score
