ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.3,4.4,4.9,4.3,3.7,4.7,3.7,R2score
ABR,2.5,3.8,5.4,3.4,3.1,6.1,3.7,R2score
SVR,2.7,4.6,5.1,3.8,3.4,4.5,3.9,R2score
KNNR,1.3,6.3,4.9,3.5,3.4,4.4,4.2,R2score
GBR,1.9,4.9,4.7,3.5,2.9,5.8,4.3,R2score
SGDR,1.3,5.2,4.3,4.2,3.3,5.2,4.5,R2score
RNR,1.9,5.5,5.4,3.7,2.6,4.3,4.6,R2score
RFR,1.9,5.0,4.9,3.4,2.8,5.1,4.9,R2score
avarage,1.98,4.96,4.95,3.72,3.15,5.01,4.22,R2score
std,0.51,0.75,0.36,0.35,0.37,0.66,0.44,R2score
