ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.55,4.1,5.8,3.9,3.9,4.85,1.9,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
ABR,3.2,3.7,4.7,3.8,3.6,5.7,3.3,MAX
MLPR,3.3,3.9,4.5,4.5,3.8,4.3,3.7,MAX
RNR,5.2,2.0,4.7,4.1,4.6,3.6,3.8,MAX
SGDR,4.8,3.7,3.8,4.0,4.5,3.4,3.8,MAX
RFR,4.7,2.1,4.3,3.7,4.4,4.9,3.9,MAX
GBR,3.7,2.5,4.8,3.5,3.5,6.1,3.9,MAX
avarage,4.08,3.16,4.7,3.96,4.02,4.72,3.35,MAX
std,0.75,0.84,0.58,0.31,0.42,0.94,0.75,MAX
