ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,3.9,5.7,3.9,3.9,4.85,2.3,MAX
SVR,4.1,3.3,5.0,4.2,3.9,4.9,2.6,MAX
MLPR,3.4,4.0,4.5,4.6,3.8,4.2,3.5,MAX
RNR,5.2,2.0,4.7,4.1,4.5,3.7,3.8,MAX
RFR,4.8,2.1,4.3,3.6,4.3,5.0,3.9,MAX
GBR,3.6,2.5,4.8,3.5,3.4,6.1,4.1,MAX
SGDR,4.8,3.6,3.8,4.0,4.4,3.2,4.2,MAX
ABR,3.0,3.5,4.5,3.7,3.5,5.6,4.2,MAX
avarage,4.04,3.11,4.66,3.95,3.96,4.69,3.58,MAX
std,0.81,0.8,0.55,0.36,0.41,0.96,0.74,MAX
