ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.5,3.8,5.4,3.4,3.2,6.0,3.7,MSE
KNNR,1.5,6.3,4.9,3.6,3.4,4.4,3.9,MSE
SVR,2.7,4.5,5.1,3.8,3.4,4.6,3.9,MSE
MLPR,2.2,4.3,4.7,4.3,3.8,4.7,4.0,MSE
SGDR,1.5,5.2,4.3,4.2,3.3,5.2,4.3,MSE
GBR,1.7,4.8,5.2,3.4,2.6,5.8,4.5,MSE
RNR,1.9,5.5,5.4,3.7,2.6,4.3,4.6,MSE
RFR,1.9,4.9,4.9,3.5,2.8,5.2,4.8,MSE
avarage,1.99,4.91,4.99,3.74,3.14,5.02,4.21,MSE
std,0.45,0.77,0.37,0.35,0.43,0.63,0.39,MSE
