ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.3,3.9,5.4,3.6,3.2,6.1,3.5,R2score
SVR,2.7,4.4,5.1,3.8,3.4,4.5,4.1,R2score
GBR,2.0,5.2,4.7,3.5,2.8,5.7,4.1,R2score
MLPR,2.1,4.3,4.7,4.1,3.7,4.6,4.5,R2score
RFR,1.9,5.0,4.9,3.5,2.9,5.1,4.7,R2score
KNNR,1.3,6.2,4.8,3.4,3.2,4.3,4.8,R2score
SGDR,1.3,5.1,4.3,4.0,3.0,5.0,5.3,R2score
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,R2score
avarage,1.92,4.94,4.91,3.69,3.06,4.91,4.56,R2score
std,0.47,0.72,0.38,0.25,0.42,0.71,0.66,R2score
