ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.2,5.8,4.0,3.9,4.85,1.9,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
MLPR,3.4,4.1,4.8,4.6,3.9,4.2,3.0,MAX
GBR,3.8,2.7,4.8,3.6,3.6,6.1,3.4,MAX
RNR,5.2,2.1,4.7,4.1,4.6,3.8,3.5,MAX
RFR,4.8,2.1,4.4,3.7,4.4,5.0,3.6,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.5,3.8,MAX
ABR,3.1,3.6,4.5,3.8,3.4,5.7,3.9,MAX
avarage,4.08,3.21,4.71,4.0,4.02,4.74,3.22,MAX
std,0.79,0.83,0.56,0.32,0.43,0.89,0.67,MAX
