ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.7,3.9,3.7,4.85,2.3,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
MLPR,3.6,4.0,4.7,4.6,3.8,4.1,3.2,MAX
RNR,5.2,2.2,4.7,4.1,4.5,3.7,3.6,MAX
RFR,4.8,2.1,4.3,3.8,4.3,4.9,3.8,MAX
GBR,3.7,2.7,4.8,3.5,3.4,6.1,3.8,MAX
SGDR,4.8,3.6,3.8,4.0,4.4,3.4,4.0,MAX
ABR,3.1,3.6,4.4,3.6,3.5,5.8,4.0,MAX
avarage,4.11,3.2,4.68,3.96,3.94,4.72,3.4,MAX
std,0.76,0.78,0.55,0.35,0.42,0.95,0.67,MAX
