ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,3.9,3.8,4.75,2.2,MAX
SVR,4.2,3.4,4.9,4.2,3.9,4.8,2.6,MAX
RNR,5.2,2.1,4.7,4.1,4.6,3.9,3.4,MAX
GBR,3.8,2.7,4.8,3.6,3.5,6.1,3.5,MAX
MLPR,3.4,3.9,4.7,4.6,3.8,4.0,3.6,MAX
ABR,3.2,3.5,4.7,3.8,3.5,5.6,3.7,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.5,3.8,MAX
RFR,4.7,2.2,4.2,3.6,4.2,4.9,4.2,MAX
avarage,4.09,3.19,4.7,3.98,3.98,4.69,3.38,MAX
std,0.74,0.76,0.58,0.33,0.42,0.88,0.66,MAX
