ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,4.1,4.0,4.75,1.8,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.7,2.8,MAX
RNR,5.2,2.0,4.7,4.2,4.5,3.7,3.7,MAX
ABR,3.1,3.4,4.7,3.8,3.5,5.6,3.9,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.3,4.0,MAX
MLPR,3.3,3.8,4.5,4.4,3.8,4.0,4.2,MAX
GBR,3.7,2.5,4.8,3.3,3.3,6.0,4.4,MAX
RFR,4.7,2.0,4.2,3.5,4.2,4.9,4.5,MAX
avarage,4.06,3.09,4.68,3.94,3.96,4.62,3.66,MAX
std,0.78,0.81,0.58,0.38,0.43,0.92,0.92,MAX
