ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.2,4.0,5.3,3.6,3.3,5.7,3.9,MAE
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
GBR,1.5,5.1,4.9,3.5,3.2,5.5,4.3,MAE
MLPR,2.3,4.0,4.7,4.1,3.9,4.6,4.4,MAE
KNNR,1.3,6.1,4.7,3.5,3.3,4.3,4.8,MAE
RFR,1.4,5.6,4.4,3.5,3.8,3.9,5.4,MAE
SGDR,1.4,5.2,4.1,4.0,3.0,4.8,5.5,MAE
RNR,2.0,5.8,4.3,3.7,2.4,3.8,6.0,MAE
avarage,1.86,4.99,4.72,3.61,3.25,4.75,4.81,MAE
std,0.54,0.85,0.46,0.34,0.47,0.73,0.74,MAE
