ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
ABR,2.3,3.7,5.4,3.3,3.0,6.0,4.3,R2score
MLPR,2.2,4.3,4.7,4.0,3.7,4.7,4.4,R2score
GBR,1.9,5.1,4.6,3.4,2.8,5.7,4.5,R2score
KNNR,1.3,6.3,4.8,3.5,3.1,4.3,4.7,R2score
RFR,1.9,4.9,4.8,3.5,2.8,5.0,5.1,R2score
SGDR,1.3,5.2,4.3,4.0,3.1,5.0,5.1,R2score
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,R2score
avarage,1.91,4.91,4.89,3.64,3.02,4.9,4.72,R2score
std,0.46,0.79,0.39,0.27,0.42,0.68,0.46,R2score
