ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,4.0,3.8,4.75,2.1,MAX
SVR,4.2,3.3,5.0,4.1,3.8,5.0,2.6,MAX
ABR,3.1,3.7,4.6,3.9,3.6,5.8,3.3,MAX
RFR,4.9,2.2,4.4,3.7,4.3,4.9,3.6,MAX
SGDR,4.8,3.7,3.8,4.1,4.5,3.5,3.6,MAX
RNR,5.2,2.0,4.7,4.2,4.6,3.6,3.7,MAX
GBR,3.8,2.5,4.8,3.5,3.6,6.1,3.7,MAX
MLPR,3.4,3.8,4.6,4.6,3.7,4.0,3.9,MAX
avarage,4.11,3.16,4.71,4.01,3.99,4.71,3.31,MAX
std,0.79,0.81,0.56,0.33,0.41,0.96,0.63,MAX
