ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.3,3.9,5.5,3.5,3.1,6.1,3.6,R2score
MLPR,2.2,4.3,4.8,4.1,3.9,4.7,4.0,R2score
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
GBR,2.0,5.1,4.7,3.5,2.7,5.7,4.3,R2score
RFR,2.0,5.0,5.0,3.5,2.9,5.1,4.5,R2score
KNNR,1.3,6.2,4.9,3.4,3.1,4.3,4.8,R2score
RNR,1.8,5.4,5.4,3.7,2.4,4.1,5.2,R2score
SGDR,1.3,5.1,4.3,4.0,3.1,5.0,5.2,R2score
avarage,1.94,4.93,4.96,3.69,3.08,4.94,4.48,R2score
std,0.46,0.72,0.39,0.26,0.45,0.69,0.57,R2score
