ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.1,5.7,4.0,3.8,4.65,2.4,MAX
SVR,4.2,3.3,4.9,4.1,3.9,4.8,2.8,MAX
MLPR,3.5,4.0,4.7,4.7,3.9,4.1,3.1,MAX
RNR,5.2,2.2,4.7,4.2,4.5,3.8,3.4,MAX
SGDR,4.8,3.6,3.8,4.1,4.5,3.4,3.8,MAX
ABR,3.0,3.6,4.6,3.8,3.4,5.7,3.9,MAX
GBR,3.7,2.6,4.8,3.5,3.5,6.0,3.9,MAX
RFR,4.7,2.1,4.2,3.5,4.2,4.9,4.4,MAX
avarage,4.06,3.19,4.68,3.99,3.96,4.67,3.46,MAX
std,0.79,0.79,0.55,0.39,0.41,0.89,0.66,MAX
