ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.2,4.4,4.8,4.2,3.9,4.6,3.9,R2score
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
ABR,2.2,3.7,5.3,3.5,3.1,5.9,4.3,R2score
GBR,1.9,5.1,4.6,3.4,2.7,5.7,4.6,R2score
KNNR,1.3,6.2,4.8,3.4,3.2,4.3,4.8,R2score
RFR,1.9,4.9,4.9,3.4,2.8,5.0,5.1,R2score
SGDR,1.3,5.0,4.3,4.0,3.1,4.9,5.4,R2score
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,R2score
avarage,1.9,4.89,4.9,3.66,3.06,4.86,4.72,R2score
std,0.45,0.75,0.36,0.31,0.48,0.66,0.58,R2score
