ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.3,4.0,5.3,3.6,3.3,5.7,3.8,MAE
MLPR,2.3,4.2,4.7,4.2,4.1,4.5,4.0,MAE
KNNR,1.4,6.2,4.8,3.6,3.5,4.3,4.2,MAE
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
GBR,1.4,5.1,5.0,3.5,3.1,5.5,4.4,MAE
SGDR,1.4,5.2,4.1,4.1,3.3,5.1,4.8,MAE
RFR,1.4,5.7,4.3,3.7,3.8,4.0,5.1,MAE
RNR,2.1,5.9,4.3,3.8,2.5,4.1,5.3,MAE
avarage,1.89,5.05,4.74,3.69,3.34,4.82,4.48,MAE
std,0.56,0.86,0.48,0.37,0.48,0.68,0.54,MAE
