ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.2,5.8,4.0,3.9,4.65,2.0,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
RFR,4.8,2.1,4.4,3.7,4.4,5.0,3.6,MAX
ABR,3.3,3.6,4.5,3.8,3.5,5.7,3.6,MAX
RNR,5.2,2.0,4.7,4.1,4.6,3.6,3.8,MAX
GBR,3.7,2.7,4.8,3.5,3.4,6.1,3.8,MAX
MLPR,3.4,3.9,4.5,4.5,3.8,4.0,3.9,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.4,3.9,MAX
avarage,4.11,3.18,4.68,3.98,4.0,4.66,3.41,MAX
std,0.75,0.82,0.57,0.31,0.45,0.96,0.69,MAX
