ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.8,5.4,3.5,3.1,6.1,3.7,R2score
KNNR,1.4,6.4,4.9,3.6,3.4,4.4,3.9,R2score
SVR,2.7,4.6,5.1,3.8,3.4,4.5,3.9,R2score
MLPR,2.2,4.4,4.7,4.2,3.8,4.7,4.0,R2score
GBR,1.9,5.0,4.8,3.5,2.9,5.8,4.1,R2score
SGDR,1.3,5.4,4.3,4.2,3.3,5.2,4.3,R2score
RNR,1.9,5.5,5.4,3.7,2.6,4.3,4.6,R2score
RFR,1.9,4.9,4.9,3.6,2.8,5.1,4.8,R2score
avarage,1.96,5.0,4.94,3.76,3.16,5.01,4.16,R2score
std,0.47,0.79,0.37,0.29,0.39,0.66,0.38,R2score
