ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.5,3.7,5.4,3.4,3.2,6.0,3.8,R2score
MLPR,2.2,4.3,4.8,4.1,3.8,4.7,4.1,R2score
SVR,2.6,4.5,5.1,3.8,3.4,4.5,4.1,R2score
GBR,2.0,5.1,4.7,3.5,2.8,5.7,4.2,R2score
KNNR,1.3,6.2,4.8,3.5,3.1,4.3,4.8,R2score
RFR,1.9,5.0,4.8,3.5,2.9,5.0,4.9,R2score
SGDR,1.3,5.4,4.3,4.0,3.0,4.9,5.1,R2score
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,R2score
avarage,1.95,4.95,4.91,3.68,3.06,4.89,4.56,R2score
std,0.49,0.77,0.37,0.26,0.44,0.68,0.6,R2score
