ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.8,4.3,5.4,3.0,3.1,5.5,3.9,MAE
ABR,2.2,4.0,5.3,3.5,3.2,5.8,4.0,MAE
KNNR,1.3,6.0,4.8,3.7,3.7,4.4,4.1,MAE
MLPR,2.3,4.3,4.6,4.1,4.0,4.6,4.1,MAE
SGDR,1.4,5.2,4.1,4.2,3.3,5.1,4.7,MAE
RNR,2.2,5.9,4.3,3.8,2.8,4.2,4.8,MAE
GBR,1.4,4.9,4.8,3.4,3.1,5.5,4.9,MAE
RFR,1.4,5.5,4.4,3.5,3.8,4.0,5.4,MAE
avarage,1.88,5.01,4.71,3.65,3.38,4.89,4.49,MAE
std,0.57,0.76,0.46,0.39,0.41,0.68,0.54,MAE
