ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.55,4.0,5.6,3.9,3.9,4.85,2.2,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
RFR,4.9,2.1,4.5,3.7,4.5,5.0,3.3,MAX
RNR,5.2,2.0,4.7,4.1,4.6,3.6,3.8,MAX
ABR,3.1,3.7,4.5,3.8,3.4,5.7,3.8,MAX
MLPR,3.3,3.9,4.6,4.5,3.6,4.2,3.9,MAX
GBR,3.6,2.4,4.8,3.5,3.6,6.1,4.0,MAX
SGDR,4.8,3.6,3.8,4.0,4.4,3.3,4.1,MAX
avarage,4.08,3.12,4.69,3.96,3.99,4.71,3.45,MAX
std,0.81,0.83,0.51,0.31,0.46,0.97,0.72,MAX
