ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.9,5.4,3.5,3.2,6.1,3.5,R2score
MLPR,2.2,4.6,4.8,4.2,3.8,4.7,3.7,R2score
SVR,2.7,4.5,5.1,3.8,3.4,4.5,4.0,R2score
GBR,1.9,5.1,4.8,3.6,2.8,5.7,4.1,R2score
KNNR,1.3,6.3,4.9,3.6,3.3,4.3,4.3,R2score
SGDR,1.3,5.4,4.3,4.2,3.1,5.2,4.5,R2score
RFR,1.9,5.0,5.0,3.6,2.8,5.1,4.6,R2score
RNR,1.8,5.4,5.4,3.7,2.5,4.2,5.0,R2score
avarage,1.94,5.02,4.96,3.78,3.11,4.98,4.21,R2score
std,0.49,0.72,0.36,0.28,0.41,0.68,0.49,R2score
