ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,4.1,3.9,4.65,2.0,MAX
SVR,4.2,3.4,5.0,4.1,3.9,4.9,2.5,MAX
MLPR,3.5,4.0,4.8,4.7,4.0,4.2,2.8,MAX
ABR,3.2,3.6,4.7,3.7,3.6,5.8,3.4,MAX
RFR,4.8,2.1,4.4,3.7,4.4,5.0,3.6,MAX
RNR,5.2,2.0,4.7,4.2,4.5,3.7,3.7,MAX
GBR,3.8,2.6,4.8,3.5,3.6,6.0,3.7,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.4,3.9,MAX
avarage,4.12,3.18,4.75,4.0,4.05,4.71,3.2,MAX
std,0.74,0.83,0.56,0.37,0.37,0.92,0.68,MAX
