ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.2,4.0,5.3,3.6,3.3,5.8,3.8,MAE
MLPR,2.4,4.2,4.8,4.1,4.0,4.6,3.9,MAE
SVR,2.8,4.3,5.4,3.0,3.1,5.5,3.9,MAE
KNNR,1.3,6.2,4.8,3.6,3.5,4.4,4.2,MAE
GBR,1.4,5.0,4.9,3.4,3.1,5.5,4.7,MAE
SGDR,1.4,5.2,4.0,4.1,3.3,5.1,4.9,MAE
RFR,1.5,5.7,4.5,3.5,3.8,4.0,5.0,MAE
RNR,2.1,5.8,4.3,3.8,2.7,4.2,5.1,MAE
avarage,1.89,5.05,4.75,3.64,3.35,4.89,4.44,MAE
std,0.56,0.82,0.48,0.37,0.41,0.68,0.54,MAE
