ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.2,4.6,4.8,4.3,3.8,4.7,3.6,R2score
ABR,2.5,3.8,5.4,3.5,3.1,6.1,3.6,R2score
SVR,2.7,4.4,5.1,3.8,3.4,4.5,4.1,R2score
KNNR,1.3,6.4,4.9,3.6,3.3,4.3,4.2,R2score
GBR,1.8,5.0,4.7,3.5,2.8,5.8,4.4,R2score
SGDR,1.3,5.3,4.3,4.2,3.2,5.2,4.5,R2score
RFR,1.9,5.0,4.9,3.5,2.7,5.1,4.9,R2score
RNR,1.8,5.4,5.4,3.7,2.5,4.2,5.0,R2score
avarage,1.94,4.99,4.94,3.76,3.1,4.99,4.29,R2score
std,0.51,0.77,0.37,0.32,0.42,0.69,0.52,R2score
