ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.2,4.3,4.8,4.4,3.8,4.7,3.8,MSE
ABR,2.4,3.8,5.5,3.4,3.2,5.9,3.8,MSE
SVR,2.6,4.3,5.1,3.8,3.4,4.6,4.2,MSE
KNNR,1.5,6.2,4.8,3.5,3.2,4.3,4.5,MSE
GBR,1.8,4.8,5.0,3.4,2.5,5.7,4.8,MSE
SGDR,1.5,5.1,4.3,4.0,3.0,5.1,5.0,MSE
RFR,1.8,4.8,4.8,3.3,2.8,5.0,5.5,MSE
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,MSE
avarage,1.95,4.84,4.96,3.68,3.02,4.91,4.64,MSE
std,0.41,0.75,0.38,0.37,0.49,0.65,0.68,MSE
