ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.8,5.4,3.5,3.2,6.1,3.6,R2score
MLPR,2.2,4.4,4.8,4.1,3.8,4.6,4.1,R2score
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
GBR,2.0,5.1,4.7,3.5,2.7,5.8,4.2,R2score
KNNR,1.3,6.3,4.8,3.5,3.2,4.3,4.6,R2score
SGDR,1.3,5.4,4.3,4.0,3.1,5.0,4.9,R2score
RFR,1.9,4.8,4.9,3.5,2.9,5.0,5.0,R2score
RNR,1.8,5.4,5.4,3.7,2.4,4.0,5.3,R2score
avarage,1.94,4.95,4.93,3.7,3.09,4.91,4.49,R2score
std,0.47,0.77,0.37,0.24,0.43,0.73,0.56,R2score
