ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.1,5.8,3.9,3.8,4.75,2.3,MAX
SVR,4.2,3.3,5.0,4.1,3.9,4.8,2.7,MAX
RNR,5.2,2.1,4.7,4.2,4.5,3.8,3.5,MAX
SGDR,4.8,3.7,3.8,4.1,4.5,3.4,3.7,MAX
MLPR,3.3,3.8,4.6,4.6,3.8,4.1,3.8,MAX
GBR,3.7,2.5,4.8,3.6,3.6,6.0,3.8,MAX
ABR,3.0,3.4,4.5,3.8,3.3,5.7,4.3,MAX
RFR,4.7,2.1,4.1,3.6,4.2,4.9,4.4,MAX
avarage,4.03,3.12,4.66,3.99,3.95,4.68,3.56,MAX
std,0.81,0.79,0.6,0.34,0.42,0.89,0.73,MAX
