ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.3,4.5,4.8,4.2,3.9,4.8,3.5,R2score
SVR,2.8,4.6,5.1,3.9,3.5,4.6,3.5,R2score
KNNR,1.3,6.4,4.9,3.7,3.4,4.4,3.9,R2score
ABR,2.4,3.6,5.4,3.5,3.1,6.0,4.0,R2score
SGDR,1.3,5.3,4.3,4.3,3.3,5.2,4.3,R2score
GBR,1.9,4.9,4.7,3.5,2.9,5.7,4.4,R2score
RNR,1.9,5.5,5.4,3.7,2.6,4.3,4.6,R2score
RFR,1.9,4.9,4.9,3.4,2.9,4.9,5.1,R2score
avarage,1.98,4.96,4.94,3.78,3.2,4.99,4.16,R2score
std,0.52,0.82,0.37,0.33,0.41,0.61,0.55,R2score
