ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.7,4.3,5.1,3.8,3.4,4.6,4.1,MSE
MLPR,2.2,4.3,4.7,4.1,3.7,4.7,4.3,MSE
ABR,2.4,3.7,5.4,3.2,3.1,5.9,4.3,MSE
GBR,1.8,5.0,5.1,3.4,2.5,5.7,4.5,MSE
KNNR,1.5,6.2,4.8,3.5,3.1,4.3,4.6,MSE
RFR,1.9,4.9,4.8,3.4,2.9,5.1,5.0,MSE
SGDR,1.5,5.1,4.3,4.0,3.1,5.0,5.0,MSE
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,MSE
avarage,1.98,4.86,4.95,3.62,3.01,4.91,4.66,MSE
std,0.43,0.77,0.37,0.32,0.45,0.65,0.47,MSE
