ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.3,3.8,5.4,3.6,3.1,6.0,3.8,R2score
GBR,2.0,5.2,4.7,3.5,2.8,5.8,4.0,R2score
MLPR,2.2,4.3,4.7,4.2,3.8,4.6,4.2,R2score
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
RFR,1.9,5.0,4.9,3.5,2.9,5.0,4.8,R2score
KNNR,1.3,6.2,4.8,3.4,3.2,4.3,4.8,R2score
SGDR,1.3,5.1,4.3,4.0,3.0,5.0,5.3,R2score
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,R2score
avarage,1.92,4.93,4.91,3.7,3.06,4.9,4.57,R2score
std,0.46,0.75,0.38,0.28,0.44,0.7,0.62,R2score
