ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.2,4.4,4.9,4.1,3.7,4.6,4.1,R2score
ABR,2.3,3.7,5.4,3.4,3.1,6.0,4.1,R2score
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
GBR,2.0,5.0,4.7,3.5,2.8,5.7,4.3,R2score
KNNR,1.3,6.2,4.8,3.5,3.2,4.3,4.7,R2score
RFR,1.8,4.9,4.9,3.5,2.8,5.0,5.1,R2score
SGDR,1.3,5.3,4.2,4.0,3.0,4.8,5.4,R2score
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,R2score
avarage,1.91,4.91,4.93,3.68,3.04,4.86,4.68,R2score
std,0.46,0.76,0.39,0.26,0.42,0.68,0.59,R2score
