ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.8,5.5,3.6,3.1,6.1,3.5,R2score
MLPR,2.2,4.5,4.8,4.2,3.8,4.7,3.8,R2score
SVR,2.7,4.4,5.1,3.8,3.4,4.5,4.1,R2score
KNNR,1.3,6.4,4.9,3.5,3.2,4.3,4.4,R2score
GBR,1.9,5.1,4.6,3.5,2.8,5.7,4.4,R2score
RFR,2.0,4.9,5.0,3.5,2.9,5.0,4.7,R2score
SGDR,1.3,5.2,4.2,4.0,3.1,5.0,5.2,R2score
RNR,1.8,5.4,5.4,3.7,2.4,4.0,5.3,R2score
avarage,1.95,4.96,4.94,3.72,3.09,4.91,4.43,R2score
std,0.49,0.78,0.42,0.26,0.42,0.7,0.63,R2score
