ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,4.0,3.9,4.85,1.9,MAX
SVR,4.2,3.4,5.0,4.2,3.9,4.9,2.4,MAX
ABR,3.0,3.6,4.6,3.9,3.6,5.8,3.5,MAX
RFR,4.8,2.2,4.3,3.8,4.4,4.9,3.6,MAX
GBR,3.7,2.6,4.8,3.6,3.5,6.1,3.7,MAX
MLPR,3.3,3.9,4.5,4.6,3.8,4.1,3.8,MAX
RNR,5.2,2.0,4.7,4.1,4.6,3.5,3.9,MAX
SGDR,4.8,3.6,3.8,4.0,4.4,3.4,4.0,MAX
avarage,4.06,3.18,4.69,4.02,4.01,4.69,3.35,MAX
std,0.81,0.8,0.58,0.3,0.41,0.98,0.77,MAX
