ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.2,4.1,5.3,3.6,3.2,5.8,3.8,MAE
MLPR,2.3,4.1,4.7,4.2,4.1,4.4,4.2,MAE
SVR,2.8,4.0,5.4,3.0,3.1,5.4,4.3,MAE
GBR,1.4,5.2,4.9,3.5,3.2,5.5,4.3,MAE
KNNR,1.4,6.1,4.7,3.5,3.4,4.3,4.6,MAE
RFR,1.4,5.8,4.4,3.6,3.8,4.0,5.0,MAE
SGDR,1.4,5.2,4.1,4.0,3.0,5.0,5.3,MAE
RNR,2.1,5.8,4.3,3.7,2.4,3.9,5.8,MAE
avarage,1.88,5.04,4.72,3.64,3.28,4.79,4.66,MAE
std,0.55,0.86,0.46,0.36,0.51,0.73,0.66,MAE
