ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.2,5.8,3.9,3.9,4.75,2.1,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.9,2.6,MAX
RNR,5.2,2.1,4.7,4.2,4.5,3.9,3.4,MAX
SGDR,4.8,3.7,3.8,4.0,4.5,3.4,3.8,MAX
RFR,4.7,2.1,4.3,3.7,4.3,4.9,4.0,MAX
MLPR,3.3,3.8,4.6,4.6,3.8,3.9,4.0,MAX
ABR,3.1,3.6,4.5,3.7,3.3,5.7,4.1,MAX
GBR,3.7,2.5,4.7,3.4,3.4,6.1,4.2,MAX
avarage,4.04,3.16,4.66,3.96,3.95,4.69,3.52,MAX
std,0.79,0.82,0.57,0.37,0.46,0.93,0.78,MAX
