ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.3,4.3,4.7,4.2,4.1,4.5,3.9,MAE
ABR,2.3,4.1,5.3,3.4,3.2,5.8,3.9,MAE
SVR,2.8,4.2,5.4,3.0,3.1,5.4,4.1,MAE
GBR,1.5,5.1,4.9,3.5,3.1,5.5,4.4,MAE
KNNR,1.3,6.0,4.7,3.5,3.3,4.3,4.9,MAE
RFR,1.4,5.7,4.3,3.6,3.9,4.0,5.1,MAE
SGDR,1.4,5.2,4.1,4.0,3.0,4.9,5.4,MAE
RNR,2.0,5.8,4.3,3.7,2.4,3.8,6.0,MAE
avarage,1.88,5.05,4.71,3.61,3.26,4.78,4.71,MAE
std,0.55,0.77,0.47,0.37,0.53,0.74,0.77,MAE
