ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,4.1,4.0,4.65,1.9,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
ABR,3.3,3.6,4.6,3.8,3.6,5.8,3.3,MAX
GBR,3.8,2.7,4.8,3.6,3.6,6.1,3.4,MAX
RNR,5.2,2.0,4.7,4.2,4.5,3.8,3.6,MAX
RFR,4.7,2.2,4.4,3.6,4.2,5.0,3.9,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.3,4.0,MAX
MLPR,3.3,3.8,4.5,4.5,3.8,4.0,4.1,MAX
avarage,4.09,3.16,4.69,4.0,4.01,4.68,3.36,MAX
std,0.74,0.77,0.56,0.32,0.36,0.97,0.74,MAX
