ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.2,5.8,4.0,3.9,4.75,1.9,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
RNR,5.2,2.0,4.7,4.2,4.6,3.7,3.6,MAX
SGDR,4.8,3.6,3.8,4.1,4.6,3.5,3.6,MAX
GBR,3.8,2.6,4.8,3.5,3.6,6.1,3.6,MAX
RFR,4.8,2.2,4.3,3.7,4.3,4.9,3.8,MAX
ABR,3.1,3.7,4.5,3.7,3.5,5.6,3.9,MAX
MLPR,3.3,3.9,4.4,4.5,4.0,3.9,4.0,MAX
avarage,4.08,3.19,4.65,3.99,4.05,4.66,3.39,MAX
std,0.79,0.82,0.58,0.33,0.42,0.92,0.72,MAX
