ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.2,5.8,4.0,3.7,4.75,2.2,MAX
SVR,4.2,3.3,4.8,4.2,3.9,4.8,2.8,MAX
SGDR,4.8,3.7,3.8,4.1,4.5,3.5,3.6,MAX
RNR,5.2,2.0,4.7,4.2,4.6,3.6,3.7,MAX
MLPR,3.3,3.9,4.6,4.6,3.8,4.1,3.7,MAX
ABR,3.2,3.5,4.6,3.6,3.5,5.7,3.9,MAX
GBR,3.6,2.6,4.8,3.5,3.5,6.1,3.9,MAX
RFR,4.7,2.1,4.3,3.6,4.3,5.0,4.0,MAX
avarage,4.04,3.16,4.68,3.98,3.98,4.69,3.48,MAX
std,0.78,0.83,0.56,0.38,0.44,0.93,0.64,MAX
