ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.1,5.8,4.0,3.9,4.75,2.1,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.8,2.6,MAX
MLPR,3.4,3.8,4.6,4.7,3.8,4.1,3.6,MAX
GBR,3.7,2.6,4.8,3.6,3.5,6.1,3.7,MAX
RNR,5.2,2.0,4.7,4.2,4.5,3.6,3.8,MAX
ABR,3.2,3.6,4.5,3.9,3.5,5.5,3.8,MAX
RFR,4.7,2.1,4.2,3.7,4.4,4.9,4.0,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.3,4.0,MAX
avarage,4.07,3.14,4.68,4.04,4.0,4.63,3.45,MAX
std,0.76,0.8,0.59,0.34,0.42,0.94,0.71,MAX
