ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.7,5.5,3.2,3.2,6.0,4.0,MSE
MLPR,2.2,4.3,4.8,4.2,3.7,4.7,4.1,MSE
SVR,2.7,4.3,5.1,3.8,3.4,4.6,4.1,MSE
KNNR,1.4,6.2,4.8,3.5,3.2,4.3,4.6,MSE
GBR,1.8,5.0,5.0,3.4,2.5,5.7,4.6,MSE
SGDR,1.5,5.1,4.3,4.1,3.1,5.0,4.9,MSE
RFR,1.9,5.0,4.8,3.4,2.8,5.1,5.0,MSE
RNR,1.8,5.4,5.4,3.7,2.4,4.0,5.3,MSE
avarage,1.96,4.88,4.96,3.66,3.04,4.93,4.57,MSE
std,0.44,0.77,0.38,0.35,0.44,0.68,0.48,MSE
