ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.1,5.8,4.0,3.9,4.85,2.0,MAX
SVR,4.2,3.3,4.8,4.2,3.9,4.7,2.9,MAX
ABR,3.3,3.7,4.7,3.8,3.5,5.9,3.1,MAX
RNR,5.2,2.0,4.7,4.2,4.5,3.8,3.6,MAX
GBR,3.8,2.6,4.8,3.6,3.6,6.0,3.6,MAX
SGDR,4.8,3.6,3.8,4.1,4.5,3.5,3.7,MAX
RFR,4.7,2.2,4.4,3.7,4.2,4.9,3.9,MAX
MLPR,3.4,3.8,4.5,4.4,3.8,4.1,4.0,MAX
avarage,4.09,3.16,4.69,4.0,3.99,4.72,3.35,MAX
std,0.74,0.79,0.56,0.28,0.38,0.91,0.66,MAX
