ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.2,5.8,4.0,3.9,4.75,1.9,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
RNR,5.2,2.0,4.7,4.2,4.6,3.7,3.6,MAX
SGDR,4.8,3.7,3.8,4.1,4.6,3.4,3.6,MAX
ABR,3.2,3.6,4.6,3.7,3.5,5.7,3.7,MAX
RFR,4.8,2.2,4.3,3.7,4.3,4.9,3.8,MAX
GBR,3.7,2.5,4.8,3.5,3.6,6.1,3.8,MAX
MLPR,3.3,3.9,4.5,4.6,3.8,4.0,3.9,MAX
avarage,4.08,3.18,4.69,4.0,4.02,4.68,3.35,MAX
std,0.78,0.83,0.58,0.35,0.43,0.94,0.73,MAX
