ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.6,4.0,5.4,3.7,3.3,6.1,2.9,R2score
SVR,2.7,4.5,5.1,3.8,3.4,4.5,4.0,R2score
RFR,2.0,5.1,5.0,3.5,2.9,5.1,4.4,R2score
KNNR,1.3,6.3,4.9,3.6,3.2,4.3,4.4,R2score
GBR,2.0,5.0,4.7,3.5,2.7,5.7,4.4,R2score
MLPR,2.2,4.1,4.8,4.0,3.6,4.6,4.7,R2score
SGDR,1.3,5.4,4.3,4.0,3.1,5.1,4.8,R2score
RNR,1.8,5.4,5.4,3.7,2.4,4.1,5.2,R2score
avarage,1.99,4.98,4.95,3.72,3.08,4.94,4.35,R2score
std,0.52,0.76,0.37,0.2,0.39,0.7,0.68,R2score
