ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.0,5.7,4.0,4.0,4.75,2.1,MAX
SVR,4.2,3.3,4.8,4.2,3.9,4.7,2.9,MAX
MLPR,3.4,4.0,4.7,4.7,3.9,4.1,3.2,MAX
RFR,4.8,2.2,4.4,3.8,4.4,5.0,3.4,MAX
GBR,3.8,2.7,4.8,3.6,3.5,6.1,3.5,MAX
RNR,5.2,2.1,4.7,4.1,4.6,3.7,3.6,MAX
ABR,3.2,3.5,4.6,3.8,3.5,5.8,3.6,MAX
SGDR,4.8,3.7,3.8,4.0,4.4,3.5,3.8,MAX
avarage,4.11,3.19,4.69,4.02,4.02,4.71,3.26,MAX
std,0.76,0.76,0.52,0.33,0.41,0.93,0.54,MAX
