ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.5,3.7,5.5,3.4,3.1,5.9,3.9,MSE
SVR,2.6,4.4,5.1,3.8,3.4,4.6,4.1,MSE
MLPR,2.2,4.2,4.8,4.2,3.7,4.6,4.3,MSE
KNNR,1.5,6.2,4.8,3.5,3.1,4.3,4.6,MSE
GBR,1.8,5.0,5.0,3.4,2.5,5.7,4.6,MSE
RFR,1.9,5.0,4.8,3.4,2.8,5.1,5.0,MSE
SGDR,1.5,5.0,4.3,4.0,3.0,4.9,5.3,MSE
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,MSE
avarage,1.98,4.86,4.96,3.66,2.99,4.89,4.66,MSE
std,0.42,0.77,0.38,0.31,0.45,0.66,0.57,MSE
