ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.2,4.4,4.9,4.2,3.9,4.7,3.7,R2score
SVR,2.7,4.4,5.1,3.8,3.4,4.5,4.1,R2score
ABR,2.3,3.7,5.4,3.4,3.1,6.0,4.1,R2score
KNNR,1.3,6.4,4.9,3.6,3.3,4.3,4.2,R2score
GBR,1.9,5.0,4.8,3.5,2.8,5.7,4.3,R2score
SGDR,1.3,5.2,4.3,4.2,3.2,5.1,4.7,R2score
RFR,1.9,5.0,5.0,3.5,2.8,5.0,4.8,R2score
RNR,1.8,5.4,5.4,3.7,2.5,4.3,4.9,R2score
avarage,1.92,4.94,4.98,3.74,3.12,4.95,4.35,R2score
std,0.48,0.81,0.35,0.31,0.43,0.63,0.41,R2score
