ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.2,3.9,5.4,3.5,3.3,5.7,4.0,MAE
MLPR,2.3,4.2,4.7,4.2,4.0,4.5,4.1,MAE
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
GBR,1.5,5.1,4.9,3.4,3.2,5.5,4.4,MAE
KNNR,1.4,6.1,4.7,3.5,3.3,4.3,4.7,MAE
RFR,1.4,5.7,4.3,3.7,3.9,3.9,5.1,MAE
SGDR,1.4,5.2,4.1,4.1,3.0,5.0,5.2,MAE
RNR,2.0,5.8,4.3,3.7,2.4,3.8,6.0,MAE
avarage,1.88,5.01,4.72,3.64,3.28,4.76,4.71,MAE
std,0.53,0.85,0.49,0.39,0.51,0.74,0.69,MAE
