ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.1,5.8,4.0,4.0,4.85,1.9,MAX
SVR,4.2,3.3,4.8,4.2,3.9,4.7,2.9,MAX
ABR,3.2,3.8,4.7,3.9,3.4,5.8,3.2,MAX
RNR,5.2,2.1,4.7,4.2,4.6,3.7,3.5,MAX
SGDR,4.8,3.7,3.8,4.1,4.5,3.5,3.6,MAX
GBR,3.8,2.5,4.8,3.5,3.6,6.1,3.7,MAX
MLPR,3.4,3.7,4.7,4.5,3.7,4.0,4.0,MAX
RFR,4.8,2.1,4.3,3.6,4.2,4.9,4.1,MAX
avarage,4.09,3.16,4.7,4.0,3.99,4.69,3.36,MAX
std,0.77,0.81,0.56,0.33,0.43,0.94,0.71,MAX
